азартный|азартное|азартная|азартные
ангельский|ангельское|ангельская|ангельские
баснословный|баснословное|баснословная|баснословные
безбожный|безбожное|безбожная|безбожные
безвозвратный|безвозвратное|безвозвратная|безвозвратные
бездонный|бездонное|бездонная|бездонные
безжалостный|безжалостное|безжалостная|безжалостные
беззастенчивый|беззастенчивое|беззастенчивая|беззастенчивые
безмятежный|безмятежное|безмятежная|безмятежные
безраздельный|безраздельное|безраздельная|безраздельные
безропотный|безропотное|безропотная|безропотные
безукоризненный|безукоризненное|безукоризненная|безукоризненные
безысходный|безысходное|безысходная|безысходные
бескомпромиссный|бескомпромиссное|бескомпромиссная|бескомпромиссные
беспардонный|беспардонное|беспардонная|беспардонные
беспощадный|беспощадное|беспощадная|беспощадные
беспрекословный|беспрекословное|беспрекословная|беспрекословные
беспримерный|беспримерное|беспримерная|беспримерные
беспросыпный|беспросыпное|беспросыпная|беспросыпные
бесстыдный|бесстыдное|бесстыдная|бесстыдные
бесшабашный|бесшабашное|бесшабашная|бесшабашные
блестящий|блестящее|блестящая|блестящие
богатырский|богатырское|богатырская|богатырские
варварский|варварское|варварская|варварские
величайший|величайшее|величайшая|величайшие
возмутительный|возмутительное|возмутительная|возмутительные
всепоглощающий|всепоглощающее|всепоглощающая|всепоглощающие
выдающийся|выдающееся|выдающаяся|выдающиеся
гигантский|гигантское|гигантская|гигантские
глубочайший|глубочайшее|глубочайшая|глубочайшие
головокружительный|головокружительное|головокружительная|головокружи
гробовой|гробовое|гробовая|гробовые
громадный|громадное|громадная|громадные
громоподобный|громоподобное|громоподобная|громоподобные
дивный|дивное|дивная|дивные
дотошный|дотошное|дотошная|дотошные
душераздирающий|душераздирающее|душераздирающая|душераздирающие
завзятый|завзятое|завзятая|завзятые
записной|записное|записная|записные
заядлый|заядлое|заядлая|заядлые
зверский|зверское|зверская|зверские
значительный|значительное|значительная|значительные
изуверский|изуверское|изуверская|изуверские
исключительный|исключительное|исключительная|исключительные
истинный|истинное|истинная|истинные
истошный|истошное|истошная|истошные
катастрофический|катастрофическое|катастрофическая|катастрофические
клятвенный|клятвенное|клятвенная|клятвенные
коренной|коренное|коренная|коренные
кристальный|кристальное|кристальная|кристальные
кровный|кровное|кровная|кровные
лошадиный|лошадиное|лошадиная|лошадиные
маститый|маститое|маститая|маститые
махровый|махровое|махровая|махровые
мертвенный|мертвенное|мертвенная|мертвенные
молниеносный|молниеносное|молниеносная|молниеносные
наглый|наглое|наглая|наглые
наибольший|наибольшее|наибольшая|наибольшие
нарочитый|нарочитое|нарочитая|нарочитые
настоящий|настоящее|настоящая|настоящие
невиданный|невиданное|невиданная|невиданные
